Current Rank,Previous Rank,BANK,Assets US$ (Millions),+ or – (local currency),Capital US$ (Millions),Balance Sheet Date
1,1,Industrial & Commercial Bank of China Limited,"6,329,106.00",+10.58%,"69,529.00",31.12.2023
2,2,Agricultural Bank of China Limited,"5,646,015.00",+15.17%,"49,558.00",31.12.2023
3,3,China Construction Bank Corporation,"5,426,795.00",+8.54%,"43,894.00",31.12.2023
4,4,Bank of China Limited,"4,592,395.00",+9.99%,"41,685.00",31.12.2023
5,5,JPMorgan Chase & Co,"3,875,393.00",+5.72%,"31,509.00",31.12.2023
6,6,"JPMorgan Chase Bank, National Association","3,395,126.00",+6.03%,"2,028.00",31.12.2023
7,-,Bank of America Corporation,"3,180,151.00",+4.22%,"84,762.00",31.12.2023
8,8,HSBC Holdings plc,"3,038,677.00",+3.03%,"9,631.00",31.12.2023
9,9,BNP Paribas SA,"2,866,198.00",+0.75%,"14,900.00",31.12.2023
10,7,Mitsubishi UFJ Financial Group Inc,"2,668,074.00",-8.53%,"14,153.00",31.03.2024
11,10,China Development Bank,"2,641,480.00",+0.2%,"59,649.00",31.03.2023
12,11,"Bank of America, National Association","2,540,116.00",+5.03%,"3,020.00",31.12.2023
13,12,Crédit Agricole SA,"2,421,474.00",+6.04%,"10,130.00",31.12.2023
14,-,Citigroup Inc,"2,411,834.00",-0.2%,"17,631.00",31.12.2023
15,16,Postal Savings Bank of China Co Ltd,"2,226,891.00",+9.55%,"14,041.00",31.12.2023
16,13,MUFG Bank Ltd.,"2,216,334.00",+0.99%,"12,910.00",31.03.2023
17,21,Bank of Communications Co Ltd,"1,990,963.00",+6.06%,"10,516.00",31.12.2023
18,20,Banco Santander SA,"1,987,551.00",+7.28%,"8,950.00",31.12.2023
19,14,Sumitomo Mitsui Financial Group Inc,"1,951,219.00",-4.32%,"15,492.00",31.03.2024
20,19,Wells Fargo & Company,"1,932,468.00",+2.74%,"28,584.00",31.12.2023
21,15,Sumitomo Mitsui Banking Corporation,"1,904,612.00",-4.06%,"13,355.00",31.03.2023
22,-,Barclays PLC,"1,882,318.00",+3.11%,"5,463.00",31.12.2023
23,17,Mizuho Financial Group Inc,"1,841,744.00",-3.94%,"14,915.00",31.03.2024
24,23,Wells Fargo Bank National Association,"1,733,244.00",+0.91%,519.00,31.12.2023
25,26,Société Générale S.A.,"1,718,774.00",+8.38%,"1,110.00",31.12.2023
26,-,UBS Group AG,"1,717,246.00",+55.5%,346.00,31.12.2023
27,24,BPCE,"1,707,818.00",+6.35%,"32,108.00",31.12.2023
28,25,Mizuho Bank Ltd,"1,706,356.00",-0.45%,"10,588.00",31.03.2023
29,22,Citibank NA,"1,684,710.00",-4.64%,"2,851.00",31.12.2023
30,29,The Goldman Sachs Group Inc,"1,641,594.00",+13.86%,"11,212.00",31.12.2023
31,28,China Merchants Bank Co Ltd,"1,561,633.00",+6.59%,"3,571.00",31.12.2023
32,18,JAPAN POST BANK Co Ltd,"1,545,898.00",-10.71%,"23,132.00",31.03.2024
33,27,Barclays Bank PLC,"1,509,901.00",+4.03%,"2,991.00",31.12.2023
34,30,Deutsche Bank AG,"1,451,438.00",+1.66%,"5,777.00",31.12.2023
35,32,Royal Bank of Canada,"1,448,607.00",+2.84%,"19,133.00",31.10.2023
36,33,Industrial Bank Co Ltd,"1,438,419.00",+7.42%,"2,942.00",31.12.2023
37,31,The Toronto-Dominion Bank,"1,413,950.00",+0.36%,"26,217.00",31.10.2023
38,34,The Hongkong and Shanghai Banking Corporation Limited,"1,344,050.00",+2.81%,"23,063.00",31.12.2023
39,-,The Agricultural Development Bank of China,"1,312,985.00",-,"25,577.00",31.12.2022
40,36,China Citic Bank Corporation Limited CNCB,"1,281,832.00",+3.78%,"6,934.00",31.12.2023
41,35,Shanghai Pudong Development Bank Co Ltd,"1,275,426.00",+1.46%,"4,156.00",31.12.2023
42,-,China Investment Corporation,"1,239,943.00",-,"200,000.00",31.12.2022
43,38,Goldman Sachs International,"1,203,555.00",+0.04%,598.00,31.12.2023
44,39,Morgan Stanley,"1,193,693.00",+1.14%,"8,770.00",31.12.2023
45,40,UBS AG,"1,156,016.00",+4.58%,386.00,31.12.2023
46,37,Caisse des Dépôts et Consignations,"1,150,011.00",+5.92%,-,31.12.2023
47,41,Lloyds Banking Group plc,"1,122,971.00",+6.61%,"8,100.00",31.12.2023
48,42,China Minsheng Banking Corporation Limited,"1,086,775.00",+3.66%,"6,200.00",31.12.2023
49,44,ING Bank NV,"1,079,053.00",+4.39%,581.00,31.12.2023
50,-,ING Groep NV,"1,078,995.00",+4.39%,"18,969.00",31.12.2023
