Name,MC_USD_Billion,MC_USD_Million,MC_GBP_Million,MC_EUR_Million,MC_INR_Million
JPMorgan Chase,432.92,432920.0,346336.0,402615.6,35910714.0
Bank of America,231.52,231520.0,185216.0,215313.6,19204584.0
Industrial and Commercial Bank of China,194.56,194560.0,155648.0,180940.8,16138752.0
Agricultural Bank of China,160.68,160680.0,128544.0,149432.4,13328406.0
HDFC Bank,157.91,157910.0,126328.0,146856.3,13098634.5
Wells Fargo,155.87,155870.0,124696.0,144959.1,12929416.5
HSBC Holdings PLC,148.9,148900.0,119120.0,138477.0,12351255.0
Morgan Stanley,140.83,140830.0,112664.0,130971.9,11681848.5
China Construction Bank,139.82,139820.0,111856.0,130032.6,11598069.0
Bank of China,136.81,136810.0,109448.0,127233.3,11348389.5
